struggler_node,struggler_id,struggler_department,struggler_stage,candidate_node,candidate_id,candidate_department,shared_modules,module_overlap_pct,same_department,embedding_distance,match_score,rank
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_33146,33146,Modern Technologies,1,100.0,True,3.7951364517211914,1.0,1
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_4966,4966,Modern Technologies,1,100.0,True,3.7953908443450928,1.0,2
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_6278,6278,Modern Technologies,1,100.0,True,3.968111038208008,1.0,3
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_32085,32085,Modern Technologies,1,100.0,True,3.9955971240997314,1.0,4
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_8666,8666,Modern Technologies,1,100.0,True,4.3191704750061035,1.0,5
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_1211,1211,Modern Technologies,1,100.0,True,4.355340003967285,1.0,6
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_31260,31260,Philosophy and Religion,0,0.0,False,3.9248507022857666,0.0,7
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_201,201,Sciences,0,0.0,False,3.9875690937042236,0.0,8
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_3884,3884,Education,0,0.0,False,3.9889578819274902,0.0,9
http://stonegrove.example/resource/Student_0,0,Modern Technologies,Year1,http://stonegrove.example/resource/Student_786,786,Education,0,0.0,False,4.089707374572754,0.0,10
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_16963,16963,Philosophy and Religion,2,100.0,True,4.409903049468994,1.0,1
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_21231,21231,Philosophy and Religion,2,100.0,True,5.4421820640563965,1.0,2
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_6559,6559,Philosophy and Religion,2,100.0,True,5.526313781738281,1.0,3
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_28417,28417,Philosophy and Religion,0,0.0,True,6.7870683670043945,0.3,4
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_12986,12986,Modern Technologies,0,0.0,False,6.049612998962402,0.0,5
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_11430,11430,Politics & Economics,0,0.0,False,6.111116409301758,0.0,6
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_13123,13123,Sciences,0,0.0,False,6.189097881317139,0.0,7
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_5576,5576,Engineering,0,0.0,False,6.348062038421631,0.0,8
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_1150,1150,Sciences,0,0.0,False,6.390906810760498,0.0,9
http://stonegrove.example/resource/Student_10023,10023,Philosophy and Religion,Year1,http://stonegrove.example/resource/Student_11512,11512,Education,0,0.0,False,6.438930511474609,0.0,10
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_28681,28681,Psychology & Sociology,0,0.0,False,5.862082004547119,0.0,1
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_3884,3884,Education,0,0.0,False,5.906460762023926,0.0,2
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_8666,8666,Modern Technologies,0,0.0,False,6.07446813583374,0.0,3
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_33065,33065,Sciences,0,0.0,False,6.099294185638428,0.0,4
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_31260,31260,Philosophy and Religion,0,0.0,False,6.099956512451172,0.0,5
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_201,201,Sciences,0,0.0,False,6.13319730758667,0.0,6
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_33833,33833,Languages,0,0.0,False,6.162201404571533,0.0,7
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_5496,5496,Sciences,0,0.0,False,6.226302623748779,0.0,8
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_25605,25605,Engineering,0,0.0,False,6.236675262451172,0.0,9
http://stonegrove.example/resource/Student_10033,10033,Art,Year1,http://stonegrove.example/resource/Student_6482,6482,Psychology & Sociology,0,0.0,False,6.2666168212890625,0.0,10
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_15753,15753,Health,1,100.0,True,3.103815793991089,1.0,1
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_12899,12899,Health,1,100.0,True,3.955984354019165,1.0,2
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_29646,29646,Health,1,100.0,True,4.328449726104736,1.0,3
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_23779,23779,Health,1,100.0,True,4.563823223114014,1.0,4
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_500,500,Health,1,100.0,True,4.935554027557373,1.0,5
http://stonegrove.example/resource/Student_10067,10067,Health,Year1,http://stonegrove.example/resource/Student_22687,22687,Health,1,100.0,True,5.00568151473999,1.0,6
